,droplet_count,time_in_s,added_size
0,463,-0.0016666666666666668,457315
1,495,0.16666666666666669,479492
2,493,0.33333333333333337,483400
3,438,0.5,478016
4,468,0.6666666666666667,476606
5,480,0.8333333333333334,480099
6,519,1.0,501275
7,472,1.1666666666666667,502751
8,486,1.3333333333333335,506561
9,487,1.5,495864
10,523,1.6666666666666667,503986
11,492,1.8333333333333335,501550
12,542,2.0,512119
13,516,2.166666666666667,510959
14,506,2.3666666666666667,515120
15,559,2.5333333333333337,523613
16,537,2.7,541796
17,533,2.8666666666666667,540234
18,506,3.0333333333333337,543144
19,546,3.2,549478
20,574,3.3666666666666667,537671
21,640,3.5333333333333337,532553
22,559,3.7,492002
23,513,3.8666666666666667,330525
24,491,4.033333333333333,187047
25,398,4.2,183437
