,droplet_count,time_in_s,added_size
0,265,-0.005,260244
1,236,0.16333333333333333,261867
2,275,0.33,260680
3,237,0.4966666666666667,262832
4,265,0.6633333333333333,263724
5,277,0.8300000000000001,266442
6,253,0.9966666666666667,262889
7,235,1.1633333333333333,266486
8,256,1.33,266601
9,239,1.4966666666666668,268408
10,279,1.6633333333333333,269165
11,272,1.83,270504
12,272,1.9966666666666668,271104
13,259,2.1633333333333336,273734
14,272,2.33,272953
15,278,2.496666666666667,273921
16,261,2.6633333333333336,275081
17,272,2.83,274847
18,276,2.996666666666667,276447
19,261,3.1633333333333336,277411
20,268,3.33,278530
21,283,3.496666666666667,277334
22,269,3.6633333333333336,278231
23,293,3.83,278221
24,278,3.996666666666667,275883
25,259,4.163333333333334,276021
26,286,4.33,253964
27,130,4.496666666666667,197888
28,269,4.663333333333334,106704
29,134,4.83,77802
30,255,4.996666666666667,64781
31,259,5.163333333333334,64165
32,262,5.33,65371
33,257,5.496666666666667,64185
34,284,5.663333333333334,64539
35,137,5.83,64199
36,274,5.996666666666667,63767
37,269,6.163333333333334,62841
38,292,6.33,63637
39,283,6.496666666666667,62938
40,298,6.663333333333334,63588
41,272,6.83,63228
42,273,6.996666666666667,64754
43,290,7.163333333333334,63918
44,306,7.33,63831
45,283,7.495,63425
46,282,7.661666666666667,63041
47,285,7.828333333333334,63921
48,286,7.995,63661
49,276,8.161666666666667,63945
50,286,8.328333333333333,63783
51,135,8.495000000000001,62529
52,283,8.661666666666667,62695
53,293,8.828333333333333,61929
54,288,8.995000000000001,62373
55,286,9.161666666666667,61574
56,303,9.328333333333333,61536
57,146,9.495000000000001,61524
58,267,9.661666666666667,61979
59,273,9.828333333333333,60214
60,301,9.995000000000001,62367
61,257,10.161666666666667,61402
62,259,10.328333333333333,61605
63,296,10.495000000000001,61433
64,152,10.661666666666667,62785
65,293,10.828333333333333,61785
66,285,10.995000000000001,62283
67,273,11.161666666666667,61630
68,131,11.328333333333335,62017
69,296,11.495000000000001,61314
70,285,11.661666666666667,62139
71,304,11.828333333333335,61449
72,264,11.995000000000001,62117
73,309,12.161666666666667,61366
74,283,12.328333333333335,62890
75,284,12.495000000000001,61960
76,282,12.661666666666667,62011
