,droplet_count,time_in_s,added_size
0,217,-0.0016666666666666668,217706
1,215,0.16666666666666669,224871
2,236,0.33333333333333337,221973
3,84,0.5,223225
4,254,0.6666666666666667,225450
5,254,0.8333333333333334,225968
6,246,1.0,226499
7,231,1.1666666666666667,231826
8,248,1.3333333333333335,232122
9,235,1.5,232331
10,255,1.6666666666666667,232284
11,232,1.8333333333333335,235984
12,231,2.0,235959
13,227,2.166666666666667,238666
14,248,2.3333333333333335,242397
15,250,2.5,245709
16,265,2.666666666666667,247750
17,238,2.8333333333333335,248845
18,255,3.0,249336
19,237,3.166666666666667,248882
20,240,3.3333333333333335,249204
21,244,3.5000000000000004,217818
22,234,3.666666666666667,117276
23,249,3.8333333333333335,97355
24,272,4.0,72002
25,271,4.166666666666667,72599
26,288,4.333333333333334,73583
27,296,4.498333333333334,73550
28,297,4.665,74776
29,291,4.831666666666667,74447
30,308,4.998333333333334,76117
31,279,5.165,74761
32,303,5.331666666666667,75617
33,286,5.498333333333334,75822
34,303,5.665,76780
35,315,5.831666666666667,77121
36,322,5.998333333333334,78092
37,330,6.165,78411
38,324,6.331666666666667,78687
39,321,6.498333333333334,78816
40,334,6.665,79819
41,293,6.831666666666667,80856
42,345,6.998333333333334,80844
43,314,7.165,80911
44,326,7.331666666666667,82161
45,341,7.498333333333334,81786
46,334,7.665000000000001,82248
47,352,7.831666666666667,83049
48,365,7.998333333333334,84446
49,337,8.165000000000001,83866
50,351,8.331666666666667,84643
51,351,8.498333333333333,84453
52,370,8.665000000000003,85838
53,141,8.831666666666667,86093
54,384,8.998333333333333,86674
55,376,9.165000000000003,86535
56,382,9.331666666666667,87363
57,385,9.498333333333333,87836
58,401,9.665000000000003,88440
59,373,9.831666666666667,88936
60,412,9.998333333333337,89213
61,385,10.165000000000003,89729
62,140,10.331666666666667,89866
63,413,10.498333333333337,90536
64,416,10.665000000000003,91916
65,429,10.831666666666667,93041
66,447,10.998333333333337,92779
67,440,11.165000000000003,92515
68,428,11.331666666666667,93164
69,426,11.498333333333337,92876
70,418,11.665000000000003,94012
71,127,11.831666666666667,93694
72,442,11.998333333333337,94462
73,440,12.165000000000003,95192
74,449,12.331666666666667,96618
75,429,12.498333333333337,96572
76,435,12.665000000000003,97032
77,458,12.831666666666667,97023
78,463,12.998333333333337,98196
79,446,13.165000000000003,98002
80,477,13.331666666666667,98727
81,472,13.498333333333337,98856
82,471,13.665000000000003,99457
83,461,13.831666666666667,99181
84,451,13.998333333333337,100559
85,462,14.165000000000003,100833
86,471,14.331666666666667,102103
87,474,14.498333333333337,102374
88,481,14.665000000000003,103145
89,449,14.831666666666667,103082
90,493,14.998333333333337,103835
91,137,15.165000000000003,103467
92,462,15.331666666666667,104031
93,478,15.498333333333337,104562
94,458,15.665000000000003,105487
95,484,15.831666666666667,105964
96,481,15.998333333333337,105911
97,474,16.165000000000003,105494
98,489,16.331666666666667,107328
99,486,16.498333333333335,107784
100,479,16.665000000000003,108308
101,486,16.831666666666667,108905
102,478,16.998333333333335,108168
103,493,17.165000000000003,108274
104,481,17.331666666666667,109288
105,511,17.498333333333335,109797
106,523,17.665000000000003,110861
107,519,17.831666666666667,111108
108,505,17.998333333333335,110284
109,497,18.165000000000003,110756
110,500,18.331666666666667,111025
111,484,18.498333333333335,111876
112,502,18.665000000000003,111683
113,523,18.831666666666667,112770
114,523,18.998333333333335,112922
115,501,19.165000000000003,114292
116,503,19.331666666666667,115015
117,496,19.498333333333335,114126
118,506,19.665000000000003,114988
119,507,19.831666666666667,114957
120,515,19.998333333333335,115503
121,505,20.165000000000003,116347
122,505,20.331666666666667,117103
123,505,20.498333333333335,117165
124,525,20.665000000000003,117695
125,526,20.831666666666667,118190
126,537,20.998333333333335,118059
127,516,21.165000000000003,118157
128,536,21.331666666666667,119086
129,508,21.498333333333335,119443
130,521,21.665000000000003,119968
131,516,21.831666666666667,120230
132,529,21.998333333333335,120893
133,537,22.165000000000003,121084
134,522,22.331666666666667,121915
135,153,22.498333333333335,122248
136,544,22.665000000000003,122725
137,561,22.831666666666667,123462
138,525,22.998333333333335,122610
139,545,23.165000000000003,123575
140,545,23.331666666666667,123043
141,552,23.498333333333335,123666
142,574,23.665000000000003,125551
143,549,23.831666666666667,125215
144,543,23.998333333333335,125552
145,532,24.165000000000003,125334
146,558,24.331666666666667,126659
147,552,24.498333333333335,126593
148,566,24.665000000000003,127517
149,568,24.831666666666667,127104
150,537,24.998333333333335,127922
151,589,25.165000000000003,127782
152,153,25.331666666666667,128649
153,531,25.498333333333335,128430
154,539,25.665000000000003,129827
155,159,25.831666666666667,128902
156,551,25.998333333333335,130025
157,550,26.165000000000003,129733
158,576,26.331666666666667,130672
159,555,26.498333333333335,131027
160,597,26.665000000000003,131316
161,557,26.831666666666667,131382
162,567,26.998333333333335,132336
163,560,27.165000000000003,132998
164,570,27.331666666666667,133418
165,545,27.498333333333335,133727
166,581,27.665000000000003,134476
167,563,27.831666666666667,133866
168,587,27.998333333333335,134539
169,591,28.165000000000003,134392
170,588,28.331666666666667,135150
171,581,28.498333333333335,135472
172,576,28.665000000000003,135826
173,595,28.831666666666667,135877
174,569,28.998333333333335,136984
175,554,29.165000000000003,136765
176,137,29.331666666666667,137204
177,579,29.498333333333335,137340
178,593,29.665000000000003,137942
179,612,29.831666666666667,139053
180,571,29.998333333333335,138469
181,579,30.165000000000003,138704
182,590,30.331666666666667,139897
183,602,30.498333333333335,139637
184,624,30.663333333333334,140680
185,601,30.830000000000005,141117
186,553,30.996666666666673,141295
